rating,stages,pos,neg,accept_rate,w,h
1,10,11,100,0.8,24,24
1,10,11,100,0.95,24,24
1,10,11,200,0.8,24,24
1,10,11,200,0.95,24,24
1,10,11,20,0.8,24,24
1,10,11,20,0.95,24,24
1,10,1,100,0.8,24,24
1,10,1,100,0.95,24,24
1,10,1,200,0.8,24,24
1,10,1,200,0.95,24,24
1,10,1,20,0.8,24,24
1,10,1,20,0.95,24,24
1,10,2,100,0.8,24,24
1,10,2,100,0.95,24,24
1,10,2,200,0.8,24,24
1,10,2,200,0.95,24,24
1,10,2,20,0.8,24,24
1,10,2,20,0.95,24,24
3,10,3,100,0.8,24,24
2,10,3,100,0.95,24,24
1,10,3,200,0.8,24,24
1,10,3,200,0.95,24,24
1,10,3,20,0.8,24,24
1,10,3,20,0.95,24,24
1,10,5,100,0.8,24,24
1,10,5,100,0.95,24,24
1,10,5,200,0.8,24,24
1,10,5,200,0.95,24,24
1,10,5,20,0.8,24,24
